gene	symbol	gene.name	phenotype.summary
YKR027W	BCH2	Bud7 and Chs6 Homolog	Non-essential gene; null mutant has a decreased growth rate on rich media, decreased competitive fitness on minimal media, both decreased fitness on ethanol containing media and a reduced ability to utilize galactose as a carbon source; null mutant displays decreased levels of alanine and an altered alpha-amino acid profile; null mutant has a reduction in chronological lifespan; homozygous diploid null mutant displays increased innate thermotolerance in both exponential and stationary phase; overexpression results in increased invasive growth

YMR237W	BCH1	Bud7 and Chs6 Homolog	Non-essential gene; null mutant has a decreased growth rate on rich media, but increased competitive fitness on nonfermentable carbon sources; null mutant is sensitive to growth on plates containing elevated levels of ammonium sulfate; heterozygous null; heterozygous diploid null mutant displays decreased starvation resistance, has an elevated level of mini-chromosome loss indicative of chromosomal instability, and is haploinsufficient

YOR299W	BUD7	BUD site selection	Non-essential gene; null mutant diploid displays abnormal random budding pattern; in systematic studies null mutants show reduced response to mating pheromone
YJR072C	NPA3	Nucleolar Preribosomal Associated	NA
YAL036C	RBG1	RiBosome interacting Gtpase	Non-essential gene; null mutant displays increased competitive fitness and an extended hibernating lifespan
YHR032W	ERC1	Ethionine Resistance Conferring	NA
YJR050W	ISY1	Interactor of SYf1p	NA
YGR129W	SYF2	SYnthetic lethal with cdc40 (Forty)	NA
YDR416W	SYF1	SYnthetic lethal with cdcForty	NA
YPL151C	PRP46	Pre-mRNA Processing	NA
YBR188C	NTC20	Prp19p (NineTeen)-associated Complex	NA
YDL209C	CWC2	Complexed With Cef1p	Essential gene; repression leads to accumulation of unspliced pre-mRNAs; conditional (ts) mutation causes chromosome instability
YLR117C	CLF1	Crooked neck-Like Factor	Essential gene; depletion leads to accumulation of unspliced RNA precursors and cell cycle arrest at G2/M phase transition; in systematic studies reduction of function causes increased sensitivity to hydroxyurea, benomyl and MMS
YPR101W	SNT309	Synthetic lethal to prp NineTeen mutation	NA
YER057C	HMF1	Homologous Mmf1p Factor	NA
YML012W	ERV25	ER Vesicle	NA
YAR002C-A	ERP1	Emp24p/Erv25p Related Protein	Non-essential gene; null mutant shows slow growth, defects in protein processing, increased resistance to azole antifungals; increased fitness on nonfermentable carbon sources

YOR016C	ERP4	Emp24p/Erv25p Related Protein	Non-essential gene; null mutant displays decreased endocytosis
YAL007C	ERP2	Emp24p/Erv25p Related Protein	Non-essential gene; null mutant is defective in Golgi-to-ER transport and protein processing
YGL002W	ERP6	Emp24p/Erv25p Related Protein	NA
YOL113W	SKM1	STE20/PAK homologous Kinase related to Morphogenesis	NA
YOL088C	MPD2	Multicopy suppressor of PDI1 deletion	NA
YOR288C	MPD1	Multicopy suppressor of PDI1 deletion	NA
YJR091C	JSN1	Just Say No	NA
YGL014W	PUF4	PUmilio-homology domain Family	NA
YKL214C	YRA2	Yeast RNA Annealing protein	Non-essential gene; null mutant shows decreased fitness, increased resistance to the apoptosis inducer edelfosine, and increased accumulation of cadmium

YAR020C	PAU7	seriPAUperin family	NA
YCR104W	PAU3	seriPAUperin family	NA
YEL049W	PAU2	seriPAUperin family	NA
YFL020C	PAU5	seriPAUperin family	NA
YNR076W	PAU6	seriPAUperin family	NA
YOR025W	HST3	Homolog of SIR Two (SIR2)	NA
YFL049W	SWP82	SWi/snf-associated Protein	NA
YDR178W	SDH4	Succinate DeHydrogenase	NA
YOL027C	MDM38	Mitochondrial Distribution and Morphology	Non-essential gene; null mutant is unable to respire and exhibits fragmented mitochondria; in large-scale studies, null mutant shows decreased competitive fitness, is sensitive to heat, acid pH, and desiccation, and has altered resistance to a variety of chemicals

YBR185C	MBA1	Multi-copy Bypass of AFG3	NA
YNR040W	MRX15	Mitochondrial oRganization of gene eXpression (MIOREX)	NA
YAL002W	VPS8	Vacuolar Protein Sorting	Non-essential gene; null mutant accumulates RNA of proton and protein transporters (PMA1, PTR2), has strong defect in vacuolar fragmentation; reduced protein function results in defective golgi to vacuole transport, via the pre-vacuolar compartment (PVC) and enlarged vacuoles; haploinsufficient

YLR310C	CDC25	Cell Division Cycle	Essential gene in S288C, conditional mutants arrest at G1 phase of cell cycle as large unbudded cells; non-essential gene in Sigma1278b, null mutant is deficient in filamentous growth

YDR519W	FPR2	FKBP Proline Rotamase	Non-essential gene; null mutant is sensitive to freeze-thaw treatment, also shows sensitivity to heat and 5-fluorouracil; null mutant is sensitive to human huntingtin protein

YIL030C	SSM4	Suppressor of mrna Stability Mutant	NA
YDR498C	SEC20	SECretory	NA
YNL214W	PEX17	PEroXisome related	NA
YPR079W	MRL1	Mannose 6-phosphate Receptor Like	NA
YGR216C	GPI1	GlycosylPhosphatidylInositol anchoring biosynthesis	NA
YOL101C	IZH4	Implicated in Zinc Homeostasis	NA
YLR023C	IZH3	Implicated in Zinc Homeostasis	NA
YDR492W	IZH1	Implicated in Zinc Homeostasis	NA
YCL027W	FUS1	cell FUSion	NA
YNL323W	LEM3	Ligand-Effect Modulator	NA
YMR266W	RSN1	Rescue of Sro7 at high Nacl	NA
YBL020W	RFT1	Requiring Fifty-Three	Essential gene; depletion results in accumulation of dolichol-bound Man5GlcNAc2 on the cytoplasmic face of ER membrane, underglycosylation and defective secretion of proteins, and opi- phenotype (excretion of inositol in the absence of inositol and choline); overexpression leads to slow growth

YKR087C	OMA1	Overlapping activity with M-AAA protease	NA
YLR389C	STE23	STErile	NA
YFR004W	RPN11	Regulatory Particle Non-ATPase	Essential gene; conditional (ts) mutants show fragmented mitochondria, increased number of peroxisomes, and abnormal localization of proteasome subunits; mutants show decreased survival in stationary phase; repression leads to opi- phenotype (excretion of inositol in the absence of inositol and choline

YHR053C	CUP1-1	Cu, copper, CUPrum	Non-essential gene; null mutant has no phenotype because multiple copies of the gene are present; deletion of all copies confers sensitivity to copper (2+); overexpression confers increased resistance to copper (2+)

YHR055C	CUP1-2	Cu, copper, CUPrum	Non-essential gene; null mutant has no phenotype because multiple copies of the gene are present; deletion of all copies confers sensitivity to copper (2+); overexpression confers increased resistance to copper (2+)

YBL091C	MAP2	Methionine AminoPeptidase	NA
YLR244C	MAP1	Methionine AminoPeptidase	Non-essential gene; null mutant shows slow growth and decreased replicative lifespan, competitive fitness and cell size; null mutation in homozygous diploid causes abnormal budding pattern and increased sensitivity to low pH, elevated temperatures, hyperosmotic stress, caffeine, hygromycin B, benomyl, DTT

YCL033C	MXR2	peptide Methionine sulfoXide Reductase	NA
YKL069W	NA	NA	NA
YER042W	MXR1	peptide Methionine sulfoXide Reductase	NA
YBL013W	FMT1	Formyl-Methionyl-tRNA Transformylase	NA
YGR264C	MES1	MEthionyl-tRNA Synthetase	NA
YJR073C	OPI3	OverProducer of Inositol	Non-essential gene; null mutant displays Opi- phenotype (overproduction and excretion of inositol in the absence of inositol and choline), abnormal ER morphology, and reduced resistance to desiccation; in large-scale studies null mutant shows reduced competitive fitness, decreased innate thermotolerance, increased glycogen accumulation, reduced filamentous growth, and sensitivity to various chemicals

YBR246W	RRT2	Regulator of rDNA Transcription	NA
YDR533C	HSP31	Heat-Shock Protein	NA
YLR017W	MEU1	Multicopy Enhancer of UAS2	NA
YBR236C	ABD1	NA	Essential gene; temperature-sensitive mutation causes decreasing protein synthesis upon temperature shift; repression leads to abnormal protein secretion

YLR186W	EMG1	Essential for Mitotic Growth	Essential gene; depletion leads to accumulation of aberrant rRNA processing intermediates

YHR207C	SET5	SET domain-containing	NA
YIL096C	BMT5	Base Methyltransferase of Twenty five S rRNA 5	Non-essential gene; null mutant displays decreased competitive fitness on minimal medium and increased fitness on ethanol and glycerol-containing media, as well as rich media with 6% ethanol; null mutant displays increased glycogen accumulation and decreased accumulation of copper cations; heterozygous diploid null is haploinsufficient during turbidostat growth in FPM medium, and is haploproficient in conditions that mimic Phase II of a batch fermentation
YLR063W	BMT6	Base Methyltransferase of Twenty five S rRNA 6	Non-essential gene; null mutant displays decreased competitive growth on synthetic oak exudate and increased fitness on minimal medium; null mutant has a decreased rate of utilization of glutamate as nitrogen source; heterozygous diploid null is haploinsufficient during turbidostat growth in FPM medium; overexpression results in dosage chromosome instability
YLR172C	DPH5	DiPHthamide	Non-essential gene; null mutation confers resistance to diphtheria toxin and to antifungal metabolite sordarin; in systematic studies mutants exhibit reduced competitive fitness, elevated sensitivity to acrolein, and greatly decreased filamentous growth in strain Sigma1278b
YCR047C	BUD23	BUD site selection	Non-essential gene; null mutant grows slowly, accumulates small ribosomal subunits in the nucleus and shows defects in ribosome biogenesis; null mutant diploid displays abnormal random budding pattern; in systematic studies null mutants are sensitive to multiple chemicals and show reduced competitive fitness
YMR208W	ERG12	ERGosterol biosynthesis	Essential gene; mutants require ergosterol; in large-scale studies, repression confers increased competitive fitness and abnormal mitochondrial morphology; heterozygous null mutant is sensitive to zaragozic acid C

YNR043W	MVD1	MeValonate pyrophosphate Decarboxylase	Essential gene; conditional (ts) mutations increase sensitivity to hydroxyurea and resistance to stichloroside C1 and theopalauamide

YMR165C	PAH1	Phosphatidic Acid phosphoHydrolase	Non-essential gene; in stationary phase, null mutant exhibits increased phospholipid and fatty acid levels and decreased triglyceride levels; null and conditional mutants have abnormal nuclear and ER morphology and lack vacuolar fusion; mutant is hypersensitive to K1 killer toxin; in large-scale studies, null mutant has reduced competitive fitness and is sensitive to various chemicals

YBR159W	IFA38	NA	NA
YPL017C	IRC15	Increased Recombination Centers	NA
YCL029C	BIK1	BIlateral Karyogamy defect	Non-essential gene; null mutant has both a decreased growth rate and competitive fitness and is both heat and cold sensitive; diploid null mutant displays a reduced number and length of cytoplasmic microtubules, short and broken anaphase spindles, and abnormally positioned nuclei resulting in anucleate and multinucleate cells; null mutant has a strong bilateral karyogamy defect; null mutant has an elevated rate of chromosome loss, is benomyl sensitive and displays an increased fraction of cells with nuclear extensions at the nuclear envelope; overexpression results in chromosomal instability, and a large-budded cell cycle arrest where cells contain a single nucleus located in or near the neck and abnormal cytoplasmic microtubules; heterozygous null mutant is haploproficient
YJL042W	MHP1	MAP-Homologous Protein	NA
YLR045C	STU2	Suppressor of TUbulin	NA
YER007W	PAC2	Perish in the Absence of Cin8p	NA
YBL034C	STU1	Suppressor of TUbulin	NA
YER016W	BIM1	BInding to Microtubules	Non-essential gene; null mutant displays chromosome instability (CIN) and increased chronological lifespan; overexpression leads to slow growth and abnormal G2 phase progression and budding index

YJR103W	URA8	URAcil requiring	NA
YIL066C	RNR3	RiboNucleotide Reductase	NA
YGR087C	PDC6	Pyruvate DeCarboxylase	NA
YLR134W	PDC5	Pyruvate DeCarboxylase	NA
YIL138C	TPM2	TroPoMyosin	NA
YMR271C	URA10	URAcil requiring	NA
YLR260W	LCB5	Long-Chain Base	NA
YPR141C	KAR3	KARyogamy	NA
YCR092C	MSH3	MutS Homolog	NA
YDR219C	MFB1	Mitochondria-associated F-Box protein	NA
YGR150C	CCM1	COB and COX1 mRNA maturation	Non-essential gene; null mutant shows 'petite' phenotype (formation of small colonies on fermentable carbon sources due to respiratory defect); null mutation leads to abnormalities in mitochondrial splicing and genome maintenance
YGL136C	MRM2	Mitochondrial rRNA Methyl transferase	NA
YHR067W	HTD2	Hydroxyacyl-Thioester Dehydratase	NA
YKL055C	OAR1	3-Oxoacyl-[Acyl-carrier-protein] Reductase	Non-essential gene; null mutant shows repiratory growth defect and sensitivity to acetaldehyde, acetic acid, ethanol, spermine; homozygous null mutation in diploids causes delayed progression through G1 phase of the cell cycle, decreased innate thermotolerance, and decreased glycogen accumulation

YBR163W	EXO5	EXOnuclease V	NA
YMR207C	HFA1	NA	NA
YER170W	ADK2	ADenylate Kinase	Non-essential gene; in systematic studies, null mutant displays reduced growth rate under anaerobic conditions and increased sensitivity to amitrole and cycloheximide

YMR083W	ADH3	Alcohol DeHydrogenase	Non-essential gene; null mutant shows slow growth rate and shortened chronological lifespan
YER073W	ALD5	ALdehyde Dehydrogenase	Non-essential gene; null mutant is sensitive to acetate and shows reduced competitive fitness

YOR374W	ALD4	ALdehyde Dehydrogenase	Non-esseential gene; null mutants have abnormal vacuolar morphology, decreased respiratory growth, decreased growth on galactose and ribose, increased lifespan, are sensitive to oleic acid and to oxidative stress, and are resistant to the allergen nickel sulfate

YPR021C	AGC1	Aspartate-Glutamate Carrier	Non-esseential gene; null mutants have abnormal vacuolar morphology, decreased competitive fitness, and are impaired in respiratory growth; heterozygous diploid nulls are haploinsufficient, and sensitive to salt and various antifungals; overexpression slows vegetative growth in S288C, increases invasive growth in Sigma1278b

YER078C	ICP55	Intermediate Cleaving Peptidase	NA
YGR094W	VAS1	VAlyl-tRNA Synthetase	Essential gene; overexpression causes nocodazole sensitivity; in large-scale studies, repression confers increased competitive fitness and sensitivity to HU and MMS; overexpression causes accumulation of large-budded cells in G2 or M phase arrest and increased invasive growth

YHR091C	MSR1	Mitochondrial tRNA Synthetase aRginine	Non-essential gene; null mutant is incapable of respiratory growth and fails to grow on non-fermentable carbon sources, also shows decreased cell size and abnormal mitochondrial morphology

YCR024C	SLM5	Synthetic Lethal with Mss4	NA
YKL106W	AAT1	Aspartate AminoTransferase	Non-essential gene; null mutant has a reduced respiratory growth rate and decreased competitive fitness on non-fermentable carbon sources; null has reduced groth on minimal medium and a reduced ability to use proline as a nitrogen source; null mutant has a reduction in caloric restriction-mediated lifespan extension, while overexpression enhances both chronological and replicative lifespan; overexpression increases silencing at the rDNA locus; null mutant has enhanced biofilm formation; heterozygous null mutant is haploinsufficient

YPL104W	MSD1	Mitochondrial aminoacyl-tRNA Synthetase, Aspartate (D)	NA
YDR381C-A	COI1	Cytochrome c Oxidase Interacting protein	NA
YGL064C	MRH4	Mitochondrial RNA Helicase	NA
YER061C	CEM1	Condensing Enzyme with Mitochondrial function	Non-essential gene; null mutant is incapable of respiratory growth (on non-fermentable carbon sources, such as glycerol, ethanol, lactate), shows a slow growth rate on a fermentable carbon source (glucose) and sensitivity to oxidative stress, cell-wall and DNA damaging agents and lipids; null mutation reduces the number of lipid droplets

YHR208W	BAT1	Branched-chain Amino acid Transaminase	Non-essential gene; null mutant is a valine auxotroph, displays an increase in growth rate, decrease in cell size and a decrease in the duration of the G1 phase of the cell cycle; null mutant is heat sensitive; overexpressor is rapamycin resistant

YBR084W	MIS1	MItochondrial C1-tetrahydrofolate Synthase	NA
YGR110W	CLD1	CardioLipin-specific Deacylase	Non-essential gene; null mutant has undetectable levels of lyso-cardiolipin and fragmented mitochondria; in systematic studies mutants in strain Sigma1278b are incapable of invasive growth
YHR002W	LEU5	LEUcine biosynthesis	Non-essential gene; null mutant fails to grow on nonfermentable carbon sources; in large-scale studies, overexpression confers sensitivity to hydroxyurea, increased invasive growth, and cell cycle delay in G2 or M phase

YNR074C	AIF1	Apoptosis-Inducing Factor	Non-essential gene; null mutant displays decreased effector-induced apoptosis and decreased generation of reactive oxygen species, while overexpression enhances apoptosis; null mutant has altered chronological lifespan; null mutant has decreased competitive fitness in minimal medium and during phase I of batch fermentation; null mutant has a decreased rate of arginine utilization

YNR001C	CIT1	CITrate synthase	Non-essential gene; null mutant displays decreased ability to utilize lactate and acetate carbon sources and is sensitive to rapamycin; in large-scale studies the null mutant displays decreased competitive fitness and chronological lifespan, and sensitivity to various chemicals

YGL219C	MDM34	Mitochondrial Distribution and Morphology	NA
YER053C	PIC2	PI Carrier	Non-essential gene; null mutant is sensitive to copper and shows reduced mitochondrial copper levels

YKL011C	CCE1	Cruciform Cutting Endonuclease	Non-essential gene; null mutant is resistant to erythromycin estolate; in systematic studies mutants have slower growth rate and show increased sensitivity hydroxyurea, cycloheximide, benomyl, camptothecin
YML129C	COX14	Cytochrome c OXidase	Non-essential gene; null mutant is incapable of respiratory growth on nonfermentable carbon sources and grows slowly on fermentable carbon sources (petite phenotype); in systematic studies mutants are sensitive to ethanol and chlorophenol but resistant to miconazole, and show reduced competitive fitness
YKR066C	CCP1	Cytochrome c Peroxidase	Non-essential gene; null mutant is sensitive to oxidative stress; null mutation increases chronological lifespan and competitive fitness
YLR348C	DIC1	DIcarboxylate Carrier	Non-essential gene; in systematic studies mutants exhibit higher frequency of mitochondrial genome loss and severely fragmented vacuoles
YMR072W	ABF2	ARS-Binding Factor	Non-essential gene; null mutant is incapable of respiratory growth, sensitive to hyperosmotic stress, and shows defects in mitochondrial genome maintenance; overexpression causes abnormal budding and cell cycle progression through G2 phase

YOR330C	MIP1	MItochondrial DNA Polymerase	Non-essential gene; null mutants grow slowly, have abnormal vacuolar morphology, accumulate glycogen, cannot respire or use various nitrogen sources, are sensitive to oxidative stress and desiccation, and have shortened lifespan and small cell size; missense mutants that correspond to human Alpers disease mutations show increased mitochondrial DNA point mutations; heterozygous diploid nulls are haploinsufficient

YJL102W	MEF2	Mitochondrial Elongation Factor	NA
YLR069C	MEF1	Mitochondrial Elongation Factor	NA
YDL085W	NDE2	NADH Dehydrogenase, External	NA
YMR145C	NDE1	NADH Dehydrogenase, External	NA
YIL134W	FLX1	FLavin eXchange	NA
YOL033W	MSE1	Mitochondrial aminoacyl-tRNA Synthetase, Glutamate (E)	NA
YIL155C	GUT2	Glycerol UTilization	NA
YDL119C	HEM25	HEMe synthesis by SLC25 family member	NA
YOR040W	GLO4	GLyOxalase	NA
YOR211C	MGM1	Mitochondrial Genome Maintenance	NA
YDL198C	GGC1	GDP/GTP Carrier	NA
YLR369W	SSQ1	Stress-Seventy subfamily Q	NA
YBR085W	AAC3	ADP/ATP Carrier	Non-essential gene; null mutant shows normal respiratory growth, but is sensitive to cisplatin, arsenite, quinine, sulfanilamide; overexpression causes delays in G1 progression

YMR056C	AAC1	ADP/ATP Carrier	Non-essential gene; null mutants display poor anaerobic growth, but have increased competitive fitness in minimal medium and rich medium supplemented with ethanol

YMR301C	ATM1	ABC Transporter, Mitochondrial	Null mutants are inviable under standard aerobic conditions, viable but slow-growing under anaerobic conditions; null mutant cells accumulate glutathione disulfide, and mitochondria contain increased levels of free iron; heterozygous diploid nulls are haploinsufficient, sensitive to starvation and to the Sir2 histone deacetylase inhibitor tenovin-6; reduced function mutants show increased competitive fitness and chromosome instability

YOR100C	CRC1	CaRnitine Carrier	Non-essential gene; null mutant shows increased competitive fitness in large-scale studies; overexpression in strain Sigma1278b causes increased filamentous growth

YBR291C	CTP1	Citrate Transport Protein	Non-essential gene; null mutation reduces fitness in competitive growth experiments; in systematic studies mutants exhibit increased sensitivity to ethanol
YLR188W	MDL1	MultiDrug resistance-Like	NA
YPL270W	MDL2	MultiDrug resistance-Like	NA
YER154W	OXA1	cytochrome OXidase Activity	Non-essential gene; reduction of function causes defects in fermentative and respiratory growth, sensitivity to oxidative and osmotic stresses, decreased endocytosis; overexpression causes slow growth

YOL095C	HMI1	Helicase in MItochondria	NA
YER017C	AFG3	ATPase Family Gene	Non-essential gene; null mutant is unable to use nonfermentable carbon sources and has a lengthened replicative lifespan, although lifespan extension by caloric restriction is less than in wild type; null mutant displays increased resistance to oxidative and heat stress; null mutant accumulates decreased levels of cardiolipin in mitochondrial membranes; in large-scale studies, null mutant shows reduced competitive fitness and altered sensitivity to a variety of drugs

YMR089C	YTA12	Yeast Tat-binding Analog	Non-essential gene; null mutant fails to respire and accumulates less cardiolipin and PE in mitochondria; homozygous null mutant has shorter chronological lifespan; in large-scale studies, null mutant has reduced competitive fitness in a variety of media; null mutant displays sensitivity to heat and ethanol, mitochondrial genome instability, and increased chitin deposition

YPL060W	MFM1	Mrs2 Function Modulating factor	NA
YOR334W	MRS2	Mitochondrial RNA Splicing	NA
YGR222W	PET54	PETite colonies	NA
YPR125W	YLH47	Yeast LETM1 Homolog of 47 kD	NA
YLR204W	QRI5	Quasi-Renownless Information	NA
YJL003W	COX16	Cytochrome c OXidase	Non-essential gene; null mutant exhibits petite phenotype (inability to grow on nonfermentable carbon sources and slow growth on fermentable carbon sources) indicating respiratory defficiency; in systematic studies mutants show decreased competitive fitness, reduced ability to form biofilms, increased sensitivity to hygromycin B and spermine, and increased resistance to edelfosine and miconazole
YIL157C	COA1	Cytochrome Oxidase Assembly	Non-essential gene; null mutant shows greatly diminished respiratory metabolism and growth; homozygous diploid displays reduced sporulation; in systematic studies mutants have shorter chronological lifespan, decreased competitive fitness and increased frequency of mitochondrial genome loss; in strain Sigma1278b null mutation prevents invasive growth
YDR231C	COX20	Cytochrome c OXidase	Non-essential gene; null mutant exhibits petite phenotype (inability to grow on nonfermentable carbon sources and slow growth on fermentable carbon sources) indicating respiratory defficiency; null mutant is also sensitive to oxidative stress caused by exposure to hydrogen peroxide; overexpression causes abnormal budding and cell morphology
YKR042W	UTH1	yoUTH	NA
YDR282C	MRX10	Mitochondrial oRganization of gene eXpression (MIOREX)	NA
YGR112W	SHY1	SURF Homolog of Yeast	NA
YOR147W	MDM32	Mitochondrial Distribution and Morphology	NA
YPL134C	ODC1	OxoDicarboxylate Carrier	NA
YOR222W	ODC2	OxoDicarboxylate Carrier	NA
YKL120W	OAC1	OxaloAcetate Carrier	NA
YMR267W	PPA2	PyroPhosphatAse	NA
YOR266W	PNT1	PeNTamidine resistance	NA
YKL134C	OCT1	OCTapeptidyl aminopeptidase	NA
YJR135W-A	TIM8	Translocase of the Inner Mitochondrial membrane	Non-essential gene; null mutant displays lower levels of Tim13p

YGR181W	TIM13	Translocase of the Inner Mitochondrial membrane	Non-essential gene; null mutant displays sensitivity to MMS and accumulates reduced levels of Tim8p; in large-scale studies, the null mutant shows reduced competitive fitness and has altered resistance to a variety of chemicals

YKL053C-A	MDM35	Mitochondrial Distribution and Morphology	NA
YLR168C	UPS2	UnProceSsed	NA
YMR002W	MIX17	Mitochondrial Intermembrane space CX(n)C motif protein	NA
YJL066C	MPM1	Mitochondrial Peculiar Membrane protein	NA
YBL107C	MIX23	Mitochondrial Intermembrane space CX(n)C motif protein	NA
YDR031W	MIX14	Mitochondrial Intermembrane space CX(n)C motif protein	NA
YPL040C	ISM1	Isoleucyl tRNA Synthetase of Mitochondria	Non-essential gene; null mutant fails to respire and loses the mitochondrial genome; homozygous null mutant diploid exhibits decreased chronological lifespan; in large-scale studies, null mutant exhibits smaller cell size, decreased competitive fitness in a variety of media, sensitivity to heat, desiccation, and UV, and increased ability to form biofilms; overexpression confers increased invasive growth; mutants exhibit altered resistance to various chemicals

YLR382C	NAM2	Nuclear Accommodation of Mitochondria	Non-essential gene; null mutant is incapable of respiration and shows petite phenotype, decreased endocytosis and biofilm formation, sensitivity to oxidative stress, hygromycin B, spermine, and decreased ability to utilize ammonium as a nitrogen source

YNL073W	MSK1	Mitochondrial aminoacyl-tRNA Synthetase, lysine (K)	NA
YKL085W	MDH1	Malate DeHydrogenase	Non-essential gene; null mutant has a severe respiratory growth defect; null mutant displays decreased replicative and chronological lifespans while the overexpressor has elevated lifespans; null mutant displays decreased survival rate in stationary phase and decreased desiccation resistance; null mutant has reduced mitochondrial zinc accumulation and increased acetic acid excretion; homozygous diploid null has decreased sporulation efficiency; overexpression results in increased silencing at the rDNA locus

YKL029C	MAE1	MAlic Enzyme	NA
YHR008C	SOD2	SuperOxide Dismutase	Non-essential gene; null mutant displays a respiratory growth defect, increased apoptosis, and decreased chronological and replicative lifespan, null mutant is sensitive to a variety of environmental stresses including oxidative stress, desiccation, heat, ionic stress, and a variety of chemicals; in large-scale studies the null mutant displays reduced competitive fitness and altered resistance to a variety of chemicals

YKL192C	ACP1	Acyl Carrier Protein	Essential gene in S288C, but non-essential in another background; S288C-derived null mutant is viable but slow growing when cultured anaerobically; non-essential null mutant is petite and displays decreased accumulation of lipoic acid; reduction of function mutant displays decreased competitive fitness in minimal medium, chromosomal instability, and decreased resistance to hydroxyurea and MMS; overexpression results in increased resistance to dihydromotuporamine C, a tumor cell invasion inhibitor; heterozygous null mutant is haploinsufficient

YOR232W	MGE1	Mitochondrial GrpE	Essential gene; overexpression is lethal; point mutants display increased oxidative stress resistance, heat sensitivity, and defective mitochondrial import

YOR020C	HSP10	Heat Shock Protein	NA
YLR289W	GUF1	Gtpase of Unknown Function	NA
YDL120W	YFH1	Yeast Frataxin Homolog	Non-essential gene; null mutant fails to respire and loses the mitochondrial genome; null mutant shows elevated mitochondrial iron accumulation and shorter replicative lifespan, and is sensitive to oxidative stress and metals; null mutant scored as inviable in original comprehensive deletion survey; in large-scale studies, repression confers reduced competitive fitness; diploid heterozygous null mutant displays haploinsufficiency; null mutant is resistant to myriocin

YIL098C	FMC1	Formation of Mitochondrial Complexes	NA
YAL044W-A	BOL1	BolA-like protein	NA
YLR139C	SLS1	Synthetic Lethal with SSM4	NA
YBR238C	NA	NA	NA
YGR096W	TPC1	Thiamine Pyrophosphate Carrier	NA
YGR171C	MSM1	Mitochondrial aminoacyl-tRNA Synthetase, Methionine	NA
YLR356W	ATG33	AuTophaGy related	Non-essential gene; null mutant has a pronounced defect in mitophagy; null mutant has a reduced ability to use urea as nitrogen source; null mutant has decreased resistance to zinc treatment; null mutant has increased competitive fitness on minimal medium; heterozygous diploid null is haploinsufficient

YKL150W	MCR1	Mitochondrial NADH-Cytochrome b5 Reductase	NA
YPL188W	POS5	PerOxide Sensitive	NA
YDL066W	IDP1	Isocitrate Dehydrogenase, NADP-specific	NA
YIL006W	YIA6	NA	NA
YDR263C	DIN7	DNA Damage INducible	Non-essential gene; null mutant has petite phenotype (inability to grow on nonfermentable and slow growth on fermentable carbon sources), which indicates mitochondrial deficiency
YMR062C	ARG7	ARGinine requiring	Non-essential gene; null mutant has a reduced growth rate and a leaky arginine auxotrophy; null mutant has decreased competitive fitness in synthetic medium; null mutant displays decreased oxidative stress resistance and resistance to zinc deficiency; null displays increased resistance to calcofluor white

YHR117W	TOM71	Translocase of the Outer Mitochondrial membrane	NA
YOL009C	MDM12	Mitochondrial Distribution and Morphology	NA
YIL136W	OM45	Outer Membrane	NA
YGR049W	SCM4	Suppressor of Cdc4 Mutation	NA
YIL146C	ATG32	AuTophaGy related	Non-essential gene; null mutant shows defects in mitophagy and increased fermentative metabolism; also shows increased replicative lifespan and decreased sensitivity to caffeine

YBR230C	OM14	Outer Membrane Protein of 14 kDa	NA
YML078W	CPR3	Cyclosporin A-sensitive Proline Rotamase	Non-essential gene; null mutant shows elevated copper-induced apoptosis; in systematic studies mutants display decreased biofilm formation and increased resistance to azoles; overexpression in strain Sigma1278b increases filamentous growth
YOR037W	CYC2	CYtochrome C	Non-essential gene; under competitive growth conditions, mutants show increased sensitivity to cordycepin and reduced fitness; in systematic studies, mutants exhibit decreased respiratory growth rate on nonfermentable carbon sources
YBL064C	PRX1	PeroxiRedoXin	NA
YPR047W	MSF1	Mitochondrial aminoacyl-tRNA Synthetase, Phenylalanine (F)	NA
YJR077C	MIR1	Mitochondrial Import Receptor	NA
YGR046W	TAM41	Translocator Assembly and Maintenance	NA
YHR100C	GEP4	GEnetic interactors of Prohibitins	NA
YNL055C	POR1	PORin	Non-essential gene; null mutant has reduced growth rate on nonfermentable carbon sources and respiratory growth is heat-sensitive; replicative lifespan of null mutant is extended more under caloric restriction than is wild-type lifespan; null mutant is sensitive to acid pH and oxidative stress, but resistant to rapamycin; in large-scale studies, null mutant shows reduced competitive fitness in a variety of media, small cell size, and altered resistance to various chemicals

YMR023C	MSS1	Mitochondrial Splicing System	NA
YGL236C	MTO1	Mitochondrial Translation Optimization	Non-essential gene in S288C but essential in the Sigma1278b background; null mutant exhibits reduced oxygen consumption although respiratory growth rate is normal; null mutant accumulates unmodified mitochondrial lysine tRNA; in large-scale studies, the null mutant shows reduced competitive fitness, increased resistance to benomyl and rapamycin, and reduced starvation resistance

